T17	Labour force participation and unemployment					
Region_Country/Area		Year	Serias	Value	Foodnotes	Source
2,00	Africa	2010	Labour force participation - Male	73.5	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
2,00	Africa	2010	Unemployment rate - Male	05. Aug	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
2,00	Africa	2010	Labour force participation - Female	54.3	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
2,00	Africa	2010	Unemployment rate - Female	07. Apr	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
2,00	Africa	2015	Labour force participation - Total	62.7	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
2,00	Africa	2015	Unemployment rate - Total	06. Jul	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
2,00	Africa	2015	Labour force participation - Male	72.0	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
2,00	Africa	2015	Unemployment rate - Male	06. Mrz	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
2,00	Africa	2015	Labour force participation - Female	53.6	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
2,00	Africa	2015	Unemployment rate - Female	07. Feb	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
2,00	Africa	2023	Labour force participation - Total	62.7	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
2,00	Africa	2023	Unemployment rate - Total	07. Jan	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
2,00	Africa	2023	Labour force participation - Male	71.8	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
2,00	Africa	2023	Unemployment rate - Male	06. Jun	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
2,00	Africa	2023	Labour force participation - Female	53.8	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
2,00	Africa	2023	Unemployment rate - Female	07. Aug	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
15,00	Northern Africa	2005	Labour force participation - Total	46.6	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
15,00	Northern Africa	2005	Unemployment rate - Total	12. Jul	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
15,00	Northern Africa	2005	Labour force participation - Male	71.4	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
15,00	Northern Africa	2005	Unemployment rate - Male	10. Jun	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
15,00	Northern Africa	2005	Labour force participation - Female	21. Jul	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
15,00	Northern Africa	2005	Unemployment rate - Female	19. Jun	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
15,00	Northern Africa	2010	Labour force participation - Total	47.8	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
15,00	Northern Africa	2010	Unemployment rate - Total	10. Mai	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
15,00	Northern Africa	2010	Labour force participation - Male	72.3	Estimate.	International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed May 2023.
