name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,id,html,cluster,PC1,PC2,PC3,playlist
A Força Que Nunca Seca (feat. Maria Bethânia)                                                                                                                                    ,Chico César                                     ,0.563,0.112,2,-11.336,1,0.0415,0.89,0.0,0.333,0.312,108.372,218933,4,60FNhq77JIoQsUKwf0wf5m ,https://open.spotify.com/track/60FNhq77JIoQsUKwf0wf5m,1,0.7572500208586043,-0.9771800824258756,0.40197529902719664,Energetic Party Hits
Aquarela Do Brasil                                                                                                                                                               ,Carlos Barbosa-Lima                             ,0.423,0.252,4,-19.264,0,0.0467,0.963,0.901,0.105,0.438,81.025,207160,4,3ftxaxht5yQW99vNcibmUC ,https://open.spotify.com/track/3ftxaxht5yQW99vNcibmUC,0,2.0083023167618763,-0.544116938515096,-1.7603481540297365,Relaxing Instrumentals
Brigas Nunca Mais                                                                                                                                                                ,Brazilian Jazz                                  ,0.529,0.276,0,-14.859,1,0.0457,0.972,0.885,0.133,0.28,96.134,146800,4,5gvBgfXusUpxjOWHyYJXVg ,https://open.spotify.com/track/5gvBgfXusUpxjOWHyYJXVg,0,2.1032390601868602,-0.32337160801785614,0.29196454112326636,Relaxing Instrumentals
Águas De Março                                                                                                                                                                   ,Antônio Carlos Jobim                            ,0.639,0.552,3,-9.285,1,0.127,0.832,0.0,0.122,0.474,143.241,212520,4,4P9HLmNcE6dUUvsPUvl3gs ,https://open.spotify.com/track/4P9HLmNcE6dUUvsPUvl3gs,1,-0.617639047477082,-0.19894128709612627,0.7966731009798187,Energetic Party Hits
Aquarela Do Brasil                                                                                                                                                               ,Voyager                                         ,0.449,0.145,9,-19.732,1,0.0484,0.937,0.919,0.0769,0.304,91.33,227400,3,3pjbCjL1IlqOfuQ8YOkX6o ,https://open.spotify.com/track/3pjbCjL1IlqOfuQ8YOkX6o,0,3.2089612365541127,-0.4080189566252093,0.7173387477810778,Relaxing Instrumentals
Chega De Saudade                                                                                                                                                                 ,João Gilberto                                   ,0.426,0.245,4,-15.983,0,0.0337,0.735,0.0,0.189,0.686,175.898,121496,4,65GsUbgQju5Mh0Ab7CRUWB ,https://open.spotify.com/track/65GsUbgQju5Mh0Ab7CRUWB,1,-0.5730851778185369,-1.0508826219348055,-0.46052047797536294,Energetic Party Hits
Don't Stop the Carnival                                                                                                                                                          ,Sonny Rollins                                   ,0.481,0.525,0,-11.228,1,0.059,0.568,0.0,0.675,0.817,104.664,365947,4,014sDbzN0MSugmC703Ic4h ,https://open.spotify.com/track/014sDbzN0MSugmC703Ic4h,2,-1.2476443887952986,-0.2900089315617532,0.4922745186861756,Rhythmic Beats
Rebel Rebel                                                                                                                                                                      ,Seu Jorge                                       ,0.775,0.206,6,-15.659,0,0.053,0.879,0.000313,0.14,0.553,120.46,166853,4,2rIzPAaLY6ocCanj5H7edQ ,https://open.spotify.com/track/2rIzPAaLY6ocCanj5H7edQ,1,0.2150663558937753,-1.283514846024189,-1.295694854596237,Energetic Party Hits
Rosa Morena - Live At Carnegie Hall/1964                                                                                                                                         ,Stan Getz                                       ,0.529,0.134,7,-26.821,1,0.0869,0.906,0.121,0.694,0.474,133.614,244627,4,37H0kOistSqxRH8rObQeIe ,https://open.spotify.com/track/37H0kOistSqxRH8rObQeIe,2,-0.22686299697308215,0.3004930161229023,0.7662414416684014,Rhythmic Beats
Karoliina Kaunis                                                                                                                                                                 ,Maria Gasolina                                  ,0.753,0.215,11,-15.671,0,0.293,0.618,0.00464,0.0912,0.382,130.338,251427,4,7BlLxHwobm2gHjXev9dNVe ,https://open.spotify.com/track/7BlLxHwobm2gHjXev9dNVe,2,-0.4059855527992875,0.769532965603929,-1.608800080876143,Rhythmic Beats
