Title,Rating
158. Howl's Moving Castle,8.2 (474K)
159. The Elephant Man,8.2 (269K)
160. The Wild Robot,8.2 (124K)
161. Dial M for Murder,8.2 (196K)
162. Rashomon,8.2 (187K)
163. Gone with the Wind,8.2 (343K)
164. Chinatown,8.1 (361K)
165. The Secret in Their Eyes,8.2 (230K)
"166. Lock, Stock and Two Smoking Barrels",8.1 (630K)
167. Klaus,8.2 (210K)
168. V for Vendetta,8.1 (1.2M)
169. Inside Out,8.1 (853K)
"170. Three Billboards Outside Ebbing, Missouri",8.1 (574K)
171. Raging Bull,8.1 (391K)
172. Trainspotting,8.1 (743K)
173. The Bridge on the River Kwai,8.1 (239K)
174. Catch Me If You Can,8.1 (1.1M)
175. Fargo,8.1 (746K)
176. Warrior,8.1 (510K)
177. Harry Potter and the Deathly Hallows: Part 2,8.1 (984K)
178. Gran Torino,8.1 (832K)
179. Spider-Man: No Way Home,8.2 (931K)
180. Million Dollar Baby,8.1 (740K)
181. My Neighbor Totoro,8.1 (400K)
182. Mad Max: Fury Road,8.1 (1.2M)
183. Ben-Hur,8.1 (260K)
184. Children of Heaven,8.2 (84K)
185. Barry Lyndon,8.1 (190K)
186. 12 Years a Slave,8.1 (758K)
187. Before Sunrise,8.1 (354K)
188. Blade Runner,8.1 (846K)
189. The Grand Budapest Hotel,8.1 (915K)
190. Dead Poets Society,8.1 (580K)
191. Hacksaw Ridge,8.1 (625K)
192. Gone Girl,8.1 (1.1M)
193. Memories of Murder,8.1 (233K)
194. In the Name of the Father,8.1 (194K)
"195. Monsters, Inc.",8.1 (1M)
196. The Gold Rush,8.1 (122K)
197. Ratatouille,8.1 (869K)
198. Wild Tales,8.1 (225K)
199. How to Train Your Dragon,8.1 (830K)
200. Jaws,8.1 (686K)
201. Sherlock Jr.,8.2 (60K)
202. The Deer Hunter,8.1 (372K)
203. Mary and Max,8.1 (194K)
204. The General,8.1 (101K)
205. The Wages of Fear,8.1 (69K)
206. Ford v Ferrari,8.1 (510K)
207. On the Waterfront,8.1 (170K)
208. Maharaja,8.4 (62K)
209. Mr. Smith Goes to Washington,8.1 (125K)
210. Wild Strawberries,8.1 (119K)
211. The Third Man,8.1 (188K)
212. Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,8.6 (29K)
213. Logan,8.1 (877K)
214. Rocky,8.1 (652K)
215. Tokyo Story,8.1 (73K)
216. The Big Lebowski,8.1 (882K)
217. Spotlight,8.1 (514K)
218. The Seventh Seal,8.1 (205K)
219. Room,8.1 (464K)
220. The Terminator,8.1 (954K)
221. Pirates of the Caribbean: The Curse of the Black Pearl,8.1 (1.3M)
222. Hotel Rwanda,8.1 (381K)
223. Platoon,8.1 (451K)
224. La haine,8.1 (207K)
225. Jai Bhim,8.7 (223K)
226. Before Sunset,8.1 (298K)
227. The Best Years of Our Lives,8.1 (73K)
228. The Passion of Joan of Arc,8.1 (64K)
229. The Exorcist,8.1 (472K)
230. The Wizard of Oz,8.1 (445K)
231. The Incredibles,8.0 (842K)
232. Rush,8.1 (528K)
233. The Sound of Music,8.1 (272K)
234. Stand by Me,8.1 (458K)
235. Hachi: A Dog's Tale,8.1 (323K)
236. Network,8.1 (176K)
237. My Father and My Son,8.2 (96K)
238. The Handmaiden,8.1 (184K)
239. To Be or Not to Be,8.1 (46K)
240. The Iron Giant,8.1 (240K)
241. The Battle of Algiers,8.1 (70K)
242. Into the Wild,8.1 (673K)
243. The Grapes of Wrath,8.1 (103K)
244. Groundhog Day,8.0 (707K)
245. A Man Escaped,8.2 (28K)
246. Amores Perros,8.0 (259K)
247. The Help,8.1 (507K)
248. Rebecca,8.1 (151K)
249. A Silent Voice: The Movie,8.1 (114K)
250. Andhadhun,8.2 (107K)
